file,plot.UID,plot_nr,timestamp,spike_count,volume_mean,volume_sum,unique
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340077_FIP2_20230605_120118/FPWW0340077_FIP2_20230605_120118_filtered_results.csv,FPWW0340,77,2023-06-05,36,4050.1111111111113,145804,FPWW0340077_FIP2_20230605_120118
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340226_FIP2_20230605_121729/FPWW0340226_FIP2_20230605_121729_filtered_results.csv,FPWW0340,226,2023-06-05,70,3071.342857142857,214994,FPWW0340226_FIP2_20230605_121729
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340081_FIP2_20230605_120050/FPWW0340081_FIP2_20230605_120050_filtered_results.csv,FPWW0340,81,2023-06-05,63,3379.3650793650795,212900,FPWW0340081_FIP2_20230605_120050
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340279_FIP2_20230605_122337/FPWW0340279_FIP2_20230605_122337_filtered_results.csv,FPWW0340,279,2023-06-05,51,2659.7843137254904,135649,FPWW0340279_FIP2_20230605_122337
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340304_FIP2_20230605_122452/FPWW0340304_FIP2_20230605_122452_filtered_results.csv,FPWW0340,304,2023-06-05,61,2783.344262295082,169784,FPWW0340304_FIP2_20230605_122452
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340326_FIP2_20230605_123029/FPWW0340326_FIP2_20230605_123029_filtered_results.csv,FPWW0340,326,2023-06-05,61,2392.44262295082,145939,FPWW0340326_FIP2_20230605_123029
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340144_FIP2_20230605_120610/FPWW0340144_FIP2_20230605_120610_filtered_results.csv,FPWW0340,144,2023-06-05,55,3956.8545454545456,217627,FPWW0340144_FIP2_20230605_120610
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340241_FIP2_20230605_121952/FPWW0340241_FIP2_20230605_121952_filtered_results.csv,FPWW0340,241,2023-06-05,57,3032.2280701754385,172837,FPWW0340241_FIP2_20230605_121952
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340182_FIP2_20230605_121421/FPWW0340182_FIP2_20230605_121421_filtered_results.csv,FPWW0340,182,2023-06-05,46,2988.782608695652,137484,FPWW0340182_FIP2_20230605_121421
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340401_FIP2_20230605_123811/FPWW0340401_FIP2_20230605_123811_filtered_results.csv,FPWW0340,401,2023-06-05,42,3311.190476190476,139070,FPWW0340401_FIP2_20230605_123811
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340381_FIP2_20230605_123626/FPWW0340381_FIP2_20230605_123626_filtered_results.csv,FPWW0340,381,2023-06-05,48,2081.458333333333,99910,FPWW0340381_FIP2_20230605_123626
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340288_FIP2_20230605_122235/FPWW0340288_FIP2_20230605_122235_filtered_results.csv,FPWW0340,288,2023-06-05,44,2373.840909090909,104449,FPWW0340288_FIP2_20230605_122235
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340150_FIP2_20230605_120947/FPWW0340150_FIP2_20230605_120947_filtered_results.csv,FPWW0340,150,2023-06-05,24,2921.208333333333,70109,FPWW0340150_FIP2_20230605_120947
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340290_FIP2_20230605_122627/FPWW0340290_FIP2_20230605_122627_filtered_results.csv,FPWW0340,290,2023-06-05,45,2394.822222222222,107767,FPWW0340290_FIP2_20230605_122627
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340073_FIP2_20230605_120146/FPWW0340073_FIP2_20230605_120146_filtered_results.csv,FPWW0340,73,2023-06-05,39,2577.128205128205,100508,FPWW0340073_FIP2_20230605_120146
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340130_FIP2_20230605_120749/FPWW0340130_FIP2_20230605_120749_filtered_results.csv,FPWW0340,130,2023-06-05,49,2698.285714285714,132216,FPWW0340130_FIP2_20230605_120749
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340123_FIP2_20230605_120411/FPWW0340123_FIP2_20230605_120411_filtered_results.csv,FPWW0340,123,2023-06-05,56,2797.553571428572,156663,FPWW0340123_FIP2_20230605_120411
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340347_FIP2_20230605_123208/FPWW0340347_FIP2_20230605_123208_filtered_results.csv,FPWW0340,347,2023-06-05,25,2451.72,61293,FPWW0340347_FIP2_20230605_123208
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340153_FIP2_20230605_120927/FPWW0340153_FIP2_20230605_120927_filtered_results.csv,FPWW0340,153,2023-06-05,30,2491.5,74745,FPWW0340153_FIP2_20230605_120927
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340363_FIP2_20230605_123425/FPWW0340363_FIP2_20230605_123425_filtered_results.csv,FPWW0340,363,2023-06-05,43,2731.0697674418607,117436,FPWW0340363_FIP2_20230605_123425
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340183_FIP2_20230605_121415/FPWW0340183_FIP2_20230605_121415_filtered_results.csv,FPWW0340,183,2023-06-05,39,3058.897435897436,119297,FPWW0340183_FIP2_20230605_121415
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340168_FIP2_20230605_121156/FPWW0340168_FIP2_20230605_121156_filtered_results.csv,FPWW0340,168,2023-06-05,71,3044.1830985915494,216137,FPWW0340168_FIP2_20230605_121156
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340348_FIP2_20230605_123202/FPWW0340348_FIP2_20230605_123202_filtered_results.csv,FPWW0340,348,2023-06-05,39,3817.948717948718,148900,FPWW0340348_FIP2_20230605_123202
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340329_FIP2_20230605_123009/FPWW0340329_FIP2_20230605_123009_filtered_results.csv,FPWW0340,329,2023-06-05,74,3153.5135135135133,233360,FPWW0340329_FIP2_20230605_123009
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340298_FIP2_20230605_122532/FPWW0340298_FIP2_20230605_122532_filtered_results.csv,FPWW0340,298,2023-06-05,48,2979.9791666666665,143039,FPWW0340298_FIP2_20230605_122532
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340093_FIP2_20230605_120332/FPWW0340093_FIP2_20230605_120332_filtered_results.csv,FPWW0340,93,2023-06-05,34,2103.294117647059,71512,FPWW0340093_FIP2_20230605_120332
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340286_FIP2_20230605_122251/FPWW0340286_FIP2_20230605_122251_filtered_results.csv,FPWW0340,286,2023-06-05,59,3015.508474576271,177915,FPWW0340286_FIP2_20230605_122251
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340394_FIP2_20230605_123459/FPWW0340394_FIP2_20230605_123459_filtered_results.csv,FPWW0340,394,2023-06-05,65,1830.7846153846156,119001,FPWW0340394_FIP2_20230605_123459
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340230_FIP2_20230605_121659/FPWW0340230_FIP2_20230605_121659_filtered_results.csv,FPWW0340,230,2023-06-05,43,3564.558139534884,153276,FPWW0340230_FIP2_20230605_121659
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340301_FIP2_20230605_122511/FPWW0340301_FIP2_20230605_122511_filtered_results.csv,FPWW0340,301,2023-06-05,30,3185.4666666666667,95564,FPWW0340301_FIP2_20230605_122511
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340281_FIP2_20230605_122324/FPWW0340281_FIP2_20230605_122324_filtered_results.csv,FPWW0340,281,2023-06-05,53,2325.735849056604,123264,FPWW0340281_FIP2_20230605_122324
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340147_FIP2_20230605_121008/FPWW0340147_FIP2_20230605_121008_filtered_results.csv,FPWW0340,147,2023-06-05,46,3355.760869565217,154365,FPWW0340147_FIP2_20230605_121008
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340255_FIP2_20230605_122216/FPWW0340255_FIP2_20230605_122216_filtered_results.csv,FPWW0340,255,2023-06-05,47,3229.659574468085,151794,FPWW0340255_FIP2_20230605_122216
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340397_FIP2_20230605_123841/FPWW0340397_FIP2_20230605_123841_filtered_results.csv,FPWW0340,397,2023-06-05,56,3357.3571428571427,188012,FPWW0340397_FIP2_20230605_123841
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340078_FIP2_20230605_120112/FPWW0340078_FIP2_20230605_120112_filtered_results.csv,FPWW0340,78,2023-06-05,60,2819.5,169170,FPWW0340078_FIP2_20230605_120112
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340271_FIP2_20230605_122433/FPWW0340271_FIP2_20230605_122433_filtered_results.csv,FPWW0340,271,2023-06-05,52,3344.519230769231,173915,FPWW0340271_FIP2_20230605_122433
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340244_FIP2_20230605_121931/FPWW0340244_FIP2_20230605_121931_filtered_results.csv,FPWW0340,244,2023-06-05,51,2620.019607843137,133621,FPWW0340244_FIP2_20230605_121931
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340408_FIP2_20230605_123725/FPWW0340408_FIP2_20230605_123725_filtered_results.csv,FPWW0340,408,2023-06-05,72,2688.1944444444443,193550,FPWW0340408_FIP2_20230605_123725
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340170_FIP2_20230605_121143/FPWW0340170_FIP2_20230605_121143_filtered_results.csv,FPWW0340,170,2023-06-05,35,2183.428571428572,76420,FPWW0340170_FIP2_20230605_121143
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340223_FIP2_20230605_121750/FPWW0340223_FIP2_20230605_121750_filtered_results.csv,FPWW0340,223,2023-06-05,17,2416.1176470588234,41074,FPWW0340223_FIP2_20230605_121750
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340265_FIP2_20230605_122111/FPWW0340265_FIP2_20230605_122111_filtered_results.csv,FPWW0340,265,2023-06-05,49,2522.9591836734694,123625,FPWW0340265_FIP2_20230605_122111
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340291_FIP2_20230605_122620/FPWW0340291_FIP2_20230605_122620_filtered_results.csv,FPWW0340,291,2023-06-05,59,1920.1016949152545,113286,FPWW0340291_FIP2_20230605_122620
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340231_FIP2_20230605_121653/FPWW0340231_FIP2_20230605_121653_filtered_results.csv,FPWW0340,231,2023-06-05,45,2683.222222222222,120745,FPWW0340231_FIP2_20230605_121653
/data-kp/FIP/Analysis/2023/WW034/volume_prediction/2023/2023_06_05_12_54_Lot1/FPWW0340136_FIP2_20230605_120707/FPWW0340136_FIP2_20230605_120707_filtered_results.csv,FPWW0340,136,2023-06-05,55,3545.036363636364,194977,FPWW0340136_FIP2_20230605_120707
