exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,7,FPWW0340147_7,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,8,FPWW0340147_8,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,9,FPWW0340147_9,SFH
FPWW034,FPWW0340147,546,ALPVAL,1,4,9,147,10,FPWW0340147_10,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,1,FPWW0340178_1,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,2,FPWW0340178_2,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,3,FPWW0340178_3,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,4,FPWW0340178_4,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,5,FPWW0340178_5,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,6,FPWW0340178_6,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,7,FPWW0340178_7,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,8,FPWW0340178_8,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,9,FPWW0340178_9,SFH
FPWW034,FPWW0340178,606,Boval,1,4,10,178,10,FPWW0340178_10,SFH
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,1,FPWW0340105_1,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,2,FPWW0340105_2,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,3,FPWW0340105_3,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,4,FPWW0340105_4,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,5,FPWW0340105_5,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,6,FPWW0340105_6,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,7,FPWW0340105_7,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,8,FPWW0340105_8,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,9,FPWW0340105_9,SFE
FPWW034,FPWW0340105,19111818,KASTELL,1,5,6,105,10,FPWW0340105_10,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,1,FPWW0340112_1,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,2,FPWW0340112_2,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,3,FPWW0340112_3,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,4,FPWW0340112_4,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,5,FPWW0340112_5,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,6,FPWW0340112_6,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,7,FPWW0340112_7,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,8,FPWW0340112_8,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,9,FPWW0340112_9,SFE
FPWW034,FPWW0340112,587,RGT Reform,1,5,7,112,10,FPWW0340112_10,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,1,FPWW0340141_1,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,2,FPWW0340141_2,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,3,FPWW0340141_3,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,4,FPWW0340141_4,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,5,FPWW0340141_5,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,6,FPWW0340141_6,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,7,FPWW0340141_7,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,8,FPWW0340141_8,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,9,FPWW0340141_9,SFE
FPWW034,FPWW0340141,6,ARINA,1,5,8,141,10,FPWW0340141_10,SFE
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,1,FPWW0340148_1,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,2,FPWW0340148_2,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,3,FPWW0340148_3,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,4,FPWW0340148_4,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,5,FPWW0340148_5,SFH
