"exp_UID","plot_UID","gen_id","genotype_name","lot","range_lot","row_lot","plot","plant_id","plant_UID","set","unique"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,6,"FPWW0360316_6","SFE","C166"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,7,"FPWW0360316_7","SFE","C167"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,8,"FPWW0360316_8","SFE","C168"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,9,"FPWW0360316_9","SFE","C169"
"FPWW036","FPWW0360316",615,"CAMPESINO",3,10,18,316,10,"FPWW0360316_10","SFE","C170"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,1,"FPWW0360340_1","SFE","C171"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,2,"FPWW0360340_2","SFE","C172"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,3,"FPWW0360340_3","SFE","C173"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,4,"FPWW0360340_4","SFE","C174"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,5,"FPWW0360340_5","SFE","C175"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,6,"FPWW0360340_6","SFE","C176"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,7,"FPWW0360340_7","SFE","C177"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,8,"FPWW0360340_8","SFE","C178"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,9,"FPWW0360340_9","SFE","C179"
"FPWW036","FPWW0360340",1,"CH CLARO",3,17,19,340,10,"FPWW0360340_10","SFE","C180"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,1,"FPWW0360322_1","SFE","C181"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,2,"FPWW0360322_2","SFE","C182"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,3,"FPWW0360322_3","SFE","C183"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,4,"FPWW0360322_4","SFE","C184"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,5,"FPWW0360322_5","SFE","C185"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,6,"FPWW0360322_6","SFE","C186"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,7,"FPWW0360322_7","SFE","C187"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,8,"FPWW0360322_8","SFE","C188"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,9,"FPWW0360322_9","SFE","C189"
"FPWW036","FPWW0360322",424,"CH_NARA",3,4,18,322,10,"FPWW0360322_10","SFE","C190"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,1,"FPWW0360293_1","SFE","C191"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,2,"FPWW0360293_2","SFE","C192"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,3,"FPWW0360293_3","SFE","C193"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,4,"FPWW0360293_4","SFE","C194"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,5,"FPWW0360293_5","SFE","C195"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,6,"FPWW0360293_6","SFE","C196"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,7,"FPWW0360293_7","SFE","C197"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,8,"FPWW0360293_8","SFE","C198"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,9,"FPWW0360293_9","SFE","C199"
"FPWW036","FPWW0360293",582,"Chevignon",3,6,17,293,10,"FPWW0360293_10","SFE","C200"
